,words,outcome
87,ЕБЛИВАЯ,1
382,cyberslimer,1
1237,kotex,1
1391,fckcum,1
649,abo,1
1376,buttbang,1
742,penetration,1
383,СОСИ ХУЙ,1
363,"НАКРЫТЬСЯ ПИЗДОЙ, ПОЙТИ ПО ПИЗДЕ",1
1383,corruption,1
748,cumshot,1
855,babeland,1
407,ХУЮМ-БУЮМ,1
8,urine,1
316,racist,1
393,"ХУЙ, А ВОТ ХУЙ, ХУЙ ТЕБЕ, ХУЮШКИ",1
427,niggerhole,1
105,ho,1
1284,jigga,1
121,busty,1
1333,raging boner,1
963,glazeddonut,1
287,Oghizga olish,1
77,sikishaman,1
115,cybersex,1
16,ВЗБЛЯД,1
152,zayibal,1
668,willie,1
185,ПИЗДАТЫЙ (-ая; -ое),1
931,hoes,1
12,БЛЯДСТВО (2),1
1525,motherfuckings,1
693,cockhead,1
230,ПОДЪЁБКА,1
552,suckmyass,1
87,schlong,1
1451,lesbin,1
261,siktir,1
1386,ejaculated,1
204,ПИЗДОМАНИЯ,1
744,cigarette,1
1200,pecker,1
543,dirty,1
1513,fuckyou,1
494,lovebone,1
810,goddamn,1
85,fusk you,1
293,transgender,1
873,dixiedike,1
71,prince albert piercing,1
63,alla,1
759,terror,1
0,Bir tomchi yetmay qogan,1
283,Sikish,1
38,xuysos,1
1190,sooty,1
998,looser,1
764,pistol,1
1379,defecate,1
1105,hijack,1
1301,tubgirl,1
205,limey,1
821,pansies,1
617,cuntlicker ,1
557,fannyfucker,1
377,foreskin,1
535,wetspot,1
741,horny,1
621,bitchy,1
198,beaver,1
561,turd,1
33,sokki,1
590,skanky,1
519,eat my ass,1
308,tea bagging,1
233,ПОЕБАТЬ,1
643,porn,1
59,fungus,1
192,chortvachchalar,1
629,fuckingbitch,1
207,breastman,1
131,НАЕБАЛОВО,1
636,orgasim ,1
1374,squaw,1
162,pussylips,1
1128,shitted,1
267,ТРЕПЕЗДОНИТ,1
275,Kutagimni ye,1
256,doggy style,1
1005,cunteyed,1
75,ЕБАНУТЬСЯ (ёбнуться),1
76,opishaman,1
632,jiggaboo,1
1436,anal,1
20,dong,1
1208,kinky,1
302,niima,1
381,pubiclice,1
538,buttplug,1
647,towelhead,1
235,ahmoq,1
83,tonguetramp,1
1036,motherfucking,1
222,Eshaksikur,1
1264,homobangers,1
270,cuntfuck,1
869,dommes,1
942,poorwhitetrash,1
338,ЕБЛОМ ЩЕЛКАТЬ,1
289,ХУЕПЛЁТ,1
892,dammit,1
358,НА ХУЯ (нахуя),1
429,rosy palm,1
1216,wanking,1
940,prostitute,1
395,ХУЙ ВАЖНЫЙ,1
458,orgies,1
78,buggery,1
160,ОСКОТОЁБИЛСЯ,1
32,tranny,1
867,ass,1
336,ЕБАТЬ МУ-МУ,1
70,dabba,1
380,fuckmonkey,1
226,junglebunny,1
131,qanjiqcha,1
1303,diseases,1
305,pisshead,1
209,kills,1
5,БЛЯДКИ,1
25,"ВПИЗДОХИВАТЬСЯ -ошиваться, -юливаться, -юриваться -яриваться, -яшиваться, -яхиваться)",1
288,Og'izga olish,1
146,НЕХУЁВЫЙ,1
10,БЛЯДСКИЙ (-ая; -ое) (2),1
788,badfuck,1
209,ПИЗДОХУЙ,1
845,sniper,1
269,Ambosh,1
483,kaffir,1
166,kotlar,1
277,shav,1
1207,kums,1
221,date rape,1
927,kill,1
571,groe,1
411,female squirting,1
695,2 girls 1 cup,1
257,РАСХУЯРИВАТЬ (-чивать),1
585,butthole,1
1452,kid,1
244,Fokhsha,1
304,ХУЯЦИЯ,1
1382,pussyfucker,1
674,dragqueen,1
1004,hustler,1
447,goddamnmuthafucker,1
915,drunken,1
1569,blacks,1
1194,spunky,1
38,ВЫБЛЯДОК,1
1337,skum,1
1560,pisspig,1
45,pee,1
18,kotmisilar,1
1025,butthead,1
294,dirty pillows,1
282,Og'zinggya Sikyami,1
588,asswhore,1
269,ТУПИЗДЕНЬ,1
1437,headlights,1
1094,clamdigger,1
296,ХУЁВО,1
275,УЁБЫВАТЬ,1
436,pommie,1
1340,soviet,1
24,kotlar,1
393,rabbi,1
54,ДОЕБАЛСЯ (-лась; -лись; -ться),1
534,barenaked,1
30,molestor,1
346,ЗАПРОСТО ХУЙ (нахуй),1
1512,ball kicking,1
1112,slopehead,1
1552,lovemuscle,1
1287,thirdeye,1
1476,stupid,1
41,pizdes,1
1411,fingerfucked ,1
765,g-spot,1
1033,niggarded,1
344,fart,1
556,bigass,1
1225,floo,1
680,flatulence,1
1302,fucks,1
817,rosy palm and her 5 sisters,1
352,gangsta,1
91,buttmuncher,1
1286,frotting,1
271,УЕБАТЬ,1
133,НАЕБАТЬСЯ,1
785,muncher,1
261,slideitin,1
297,eva elfie,1
736,fairy,1
1090,buttfuck,1
567,escort,1
800,puss,1
17,ВЗЪЕБНУТЬ,1
228,ПОДПИЗДЫВАЕТ (-ть),1
891,evl,1
976,biatch,1
381,САМОГО ХОТЬ В ЖОПУ ЕБИ,1
300,vibr,1
1176,balllicker,1
1135,ky,1
1078,spankthemonkey,1
1266,barfface,1
315,arse,1
197,ПИЗДОБРАТИЯ,1
453,turnon,1
601,coondog,1
175,butt-fuckers,1
86,pizdukcha,1
1594,shitstain,1
37,sixsixsix,1
123,kunilingus,1
807,piky,1
394,gypp,1
1085,gringo,1
949,moky,1
39,shitty ,1
462,cockqueen,1
187,onayni skey,1
202,oneyni,1
331,spik,1
224,ПОДНАЕБНУТЬ,1
194,ball gag,1
168,yibanlar,1
193,soskalar,1
634,raper,1
322,niggard's,1
405,ХУЙНЮ СПОРОТЬ,1
266,communist,1
67,dalbayop,1
291,ХУЕСОС,1
579,backseat,1
1318,mothafuckaz,1
1247,swallow,1
357,НА ХУЙ СЕСТЬ,1
1177,ponyplay,1
206,gey,1
266,ТРЕПЕЗДОН,1
1298,camwhore,1
65,niima,1
1281,pussylover,1
1606,titfuckin,1
1535,shits,1
225,Kotbashara,1
301,ХУЙНЯ (1),1
572,vibrator,1
1304,blow your l,1
11,zayebal,1
89,qotaqbas,1
309,ШАРОЁБИТСЯ,1
264,СХУЯРИТЬ,1
1055,abbo,1
1080,jewish,1
53,nlggor,1
772,pussyeater,1
1255,muffdive,1
375,ПОНЕСЛАСЬ ПИЗДА ПО КОЧКАМ,1
43,ВЫПИЗДЕТЬСЯ,1
505,big knockers,1
752,fatah,1
1223,tang,1
965,africa,1
1447,black,1
28,ВПИЗДЮЛИТЬ,1
365,homo,1
886,dahmer,1
233,Kotini qis,1
309,slutt,1
216,ПИЗДЮЛИНА,1
128,suka,1
583,boong,1
944,farting ,1
771,allah,1
157,zaybalslar,1
1196,playgirl,1
152,taboo,1
61,onayni emmagur,1
196,ПИЗДОБРАТ,1
1029,beatoff,1
836,freefuck,1
1226,honger,1
318,flydye,1
321,ВСЕГО НИ ХУЯ,1
1419,pussy,1
1151,felcher,1
260,СОСИХУЙСКИЙ (-ая),1
373,ПИЗДЫ ПОЛУЧИТЬ,1
900,panties,1
1027,spermbag,1
1336,grope,1
343,killer,1
223,ПОДЗАЕБЕНИТЬ,1
398,arabs,1
584,voyeur,1
704,darky,1
298,"ХУИЛА (хуило, хуйло)",1
36,ВХУЯРИТЬ (вхуячить),1
292,erotic,1
1596,hiv,1
1242,uterus,1
398,ХУЙ ЗНАЕТ ЧТО,1
1310,snatch,1
141,lemon party,1
1146,fat,1
2,s&m,1
1161,fuckme ,1
576,niggles,1
1541,pocketpool,1
339,titfucker,1
358,husky,1
265,gipp,1
376,insest,1
256,РАСХУЮЖИТЬ,1
200,jalab,1
439,jesuschrist,1
271,niggardly,1
313,БЛЯДЕМУДИНЫЙ ПИЗДОПРОЁБ,1
110,ЗАПИЗДЕНЕВАТЬ,1
244,lezbo,1
961,knobbing,1
175,sokki,1
1125,pudd,1
1113,pud,1
328,"ДО ПИЗДЫ, ДОПИЗДЫ",1
881,femdom,1
607,kumbubble,1
415,ejaculate,1
273,faggot,1
1222,hiscock,1
780,nip,1
1583,fuc,1
250,angie,1
413,crabs,1
316,В ПИЗДУ ВЛЕТЕТЬ,1
123,"КОЗЛОЁБИТЬСЯ (козоёбиться, коноёбиться, свиноёбиться, ослоёбиться)",1
1010,wuzzie,1
310,cumbubble,1
999,virgin,1
981,shitfull,1
425,kumbullbe,1
237,aam,1
1189,bi curious,1
82,mazgiyop,1
721,brunette action,1
9,zaebal,1
348,strap on,1
1375,hand job,1
964,urethra play,1
326,ДЁРГАННАЯ ПИЗДА,1
526,how to murder,1
986,filipino,1
363,sleezebag,1
182,wrinkled starfish,1
170,butchbabes,1
1061,freakyfucker,1
1220,farted ,1
1199,xxx,1
812,shitfaced,1
187,dies,1
619,lezbefriends,1
151,peehole,1
158,shortfuck,1
1071,nambla,1
272,fuckface,1
614,dego,1
489,nigg,1
1121,two girls one cup,1
254,РАСПИЗДЯЙ (-ка),1
371,niggardliness,1
222,eatballs,1
593,titlicker,1
476,conservative,1
26,ВПИЗДРОНИВАТЬ,1
155,ОДИН ХУЙ,1
90,Сука,1
839,transexual,1
687,buttpirate,1
1421,attack,1
136,weapon,1
518,cumjockey,1
628,fistfuck,1
334,kondum,1
781,weewee,1
1272,assman,1
1550,snigger's,1
1404,bazooms,1
134,НАЕБАШИЛСЯ,1
1418,sos,1
1538,bullet vibe,1
710,fuckpig,1
15,rimming,1
1210,homicide,1
287,moslem,1
85,ЕБЛАН,1
107,yimirta,1
1380,kock,1
214,sex,1
1053,oral,1
570,snigger,1
654,suicide,1
1044,fingerfood,1
1292,retarded,1
465,holestuffer,1
329,ДО ХУЯ (дохуя),1
199,asspirate,1
1173,cockrider,1
1598,mad,1
1410,cuntsucker,1
348,К ЁБАНОЙ БАБУШКЕ,1
1505,drunk,1
1195,nymphomania,1
234,ПОЕБЕНЬ,1
113,ЗАПИЗЖИВАТЬСЯ,1
1441,taste my,1
591,european,1
1313,knife,1
286,ХУЕЛЕС,1
163,ОСТОПИЗДЕТЬ,1
88,qotobosh,1
1103,goddamnit,1
49,chortlar,1
1100,pusy,1
994,shemale,1
258,СКОТОЁБ,1
816,pikey,1
1178,fuckoff,1
43,bitcher,1
1385,boobs,1
274,protestant,1
1461,fingerfucking ,1
865,whorefucker,1
101,dickman,1
1268,syphilis,1
232,Jalaaab,1
1344,dingleberry,1
107,shitdick,1
1364,crotchmonkey,1
497,humping,1
296,eva elif,1
802,damnation,1
144,Lgbt,1
154,ОБЪЕБОС,1
1057,bomb,1
1289,inthebuff,1
1179,jizzum,1
306,ХУЯ,1
104,ЗАЕБИСЬ,1
117,kotbosh,1
52,sossi,1
1290,nawashi,1
712,molest,1
72,hardon,1
500,pole smoker,1
1608,camslut,1
1551,violence,1
220,kotbashara,1
481,spread legs,1
1394,whorehouse,1
324,ДА ЕБАЛ Я,1
506,iblowu,1
1221,nigglings,1
1163,brothel,1
1110,servant,1
1187,hork,1
1413,pixy,1
301,zor sokinish boldi lekin,1
1193,clover clamps,1
136,НАЕБНУЛСЯ (-лась; -ться),1
184,xuysinim,1
281,ХУДОЁБИНА,1
1258,wab,1
311,blackout,1
219,ПИЗДЮРИТЬ,1
405,negroid,1
757,mosshead,1
1175,geezer,1
1389,creamy,1
377,С ПРИПИЗДЬЮ (пропиздью),1
1521,tongue in a,1
743,phuking,1
806,yankee,1
130,qanjiq,1
179,ПИЗДА (2),1
1234,fuckin,1
148,sniggered,1
109,ЗАЕБАТЬСЯ,1
53,ДЕРЬМОХЕРОПИЗДОКРАТИЯ,1
692,jiga,1
818,doggiestyle,1
1509,hooker,1
37,ВЫБЛЯДОВАЛ (-ла; -ть),1
1472,itch,1
701,phungky,1
40,xuy,1
921,fondle,1
905,pornflick,1
173,ОХУЯЧИТЬ,1
293,ХУЕТЕНЬ,1
1544,barf,1
149,ОБЪЕБАЛ (-ла; -ть),1
167,piss pig,1
730,one cup two girls,1
1355,strappado,1
26,popimp,1
1159,bogan,1
312,БЛЯ БУДУ,1
997,eatme,1
1040,greaseball,1
270,УЕБАЛСЯ (-лась; -ться),1
1083,bitching,1
354,(НУ ЕГО) НА ХУЙ (нахуй),1
41,hamas,1
1116,williewanker,1
118,kotkalla,1
1185,bicurious,1
1084,strip club,1
609,mormon,1
116,ЗЛОЕБУЧАЯ (-ий),1
32,amlariga eshshe siksin,1
153,ОБЪЕБАТЬСЯ,1
1356,jew,1
493,disease,1
236,gang bang,1
551,japanese,1
520,lovegoo,1
1499,ejaculating ,1
720,lapdance,1
30,ВПИЗДЯЧИТЬ,1
37,huysos,1
58,mothafucked ,1
631,cigs,1
177,tashaqbash,1
592,mothafuck,1
404,ХУЙ С НИМ,1
939,assmunch,1
163,jalablar,1
904,devil,1
65,ЕБАЛКА,1
215,sikay,1
103,ЗАЕБАТЬ,1
6,БЛЯДОВАТЬ,1
34,"ВХУЙНУТЬСЯ (вхуякаться, вхуяриться, вхуячиться, вхуяшить)",1
706,screw,1
1022,footstar,1
745,dyefly,1
1576,bestial,1
1228,beaner,1
513,whiz,1
81,lickme,1
44,jala,1
914,gonzagas,1
123,qotokalla,1
150,nutfucker,1
774,executed,1
329,chinese,1
6,ra8s,1
943,honkey,1
92,ЁБАРЬ (ебарь),1
111,om,1
909,hore,1
468,nipplering,1
181,rusty trombone,1
164,how to kill,1
451,colored,1
490,spermhearder,1
278,Qo'tagimni ye,1
1457,choad,1
1111,gyppo,1
202,ПИЗДОЛЕТ,1
1279,shithead,1
1471,hobo,1
1273,german,1
1487,jiz ,1
1543,wtf,1
327,gatorbait,1
442,chode,1
352,МАЛОЕБУЩИЙ (малоебучий) ФАКТОР,1
1320,fucking,1
832,osama,1
303,qosin',1
1131,pi55,1
86,gun,1
253,Oneni ski,1
777,swastika,1
1288,fuckknob,1
54,niggaz,1
1,БЛЯДВА,1
1446,explosion,1
1351,waysted,1
113,gubba,1
160,kotmisilar,1
987,sexpot,1
231,ПОДЪЁБКИ,1
1349,nasty,1
1009,backdoor,1
589,cocaine,1
277,ХИТРОВЫЕБАННЫЙ (-ая),1
17,pornography,1
181,ПИЗДАЁБ,1
285,titlover,1
428,niggard,1
1171,nigerian,1
669,shhit,1
31,peni5,1
722,hindoo,1
951,nigger,1
1517,ecstacy,1
214,clitoris,1
142,Bir tomchi yetmay qogan,1
326,firing,1
560,girls,1
1086,pendy,1
1577,sweetness,1
341,swinger,1
147,mothafucka,1
1586,sexing,1
1107,hook,1
236,ПОПИЗДИЛИ,1
966,fairies,1
1072,puntang,1
155,bast,1
46,ВЪЕБАТЬ,1
1378,gypo,1
387,ХОТЬ БЫ ХУЙ,1
1590,heterosexual,1
246,ПРОЕБАТЬСЯ,1
1593,lovegun,1
171,amlariga eshak siksin,1
1398,assblaster,1
164,amlar,1
1539,assassinate,1
97,ЁБНУТЫЙ,1
69,dalban,1
938,stupidfuck,1
71,darmaed,1
346,pimpsimp,1
229,ПОДЪЕБНУТЬ,1
285,Kapak,1
385,kumquat,1
1357,limpdick,1
1401,forni,1
243,lezbe,1
1285,remains,1
936,bollock,1
349,КАК ЁБ (ёп) ТВОЮ МАТЬ,1
312,hijacking,1
252,Oneni eshshe siksin,1
1309,poontang,1
968,shaved pussy,1
660,analannie,1
367,ПО-ХУЮ,1
370,fuk,1
566,wog,1
76,ЕБАНУТЫЙ,1
824,felch,1
982,vaginal,1
1604,guro,1
813,dickhead,1
778,buried,1
1052,fubar,1
1562,christian,1
1013,pimpjuic,1
1468,nude,1
189,buviyni ami,1
1506,phukking,1
126,fistfucking ,1
887,feltcher,1
270,Kutingga skay,1
1007,nipples,1
355,kafir,1
380,С ХУЯ ЛИ,1
682,damn,1
17,zaybalsizlar,1
1283,gotohell,1
984,color,1
305,ХУЛИ,1
140,sexy-slim,1
300,ХУЙНУТЬ,1
161,ОСТОЕБАЛ (-а; -и; -ать),1
122,КОЗЛОЁБИНА,1
47,buviyni ami,1
1574,killing,1
49,ГОВНОЁБ,1
7,onalarini ske,1
711,manpaste,1
1157,russki,1
1263,rapist,1
871,lolita,1
10,randy,1
161,zaybalsilar,1
1455,women's,1
754,suckdick,1
626,upthebutt,1
259,qotaqali,1
129,cockknob,1
843,nig nog,1
323,jigg,1
1453,fellatio,1
1245,luckycammeltoe,1
236,jinni,1
14,pudboy,1
159,ОПИЗДОУМЕЛ,1
215,fornicate,1
295,asalxoney,1
57,ДОЛБОЁБ,1
1182,fatfucker,1
1414,kkk,1
1342,honkers,1
864,picaninny,1
516,hosejob,1
597,mexican,1
195,poof,1
288,krappy,1
950,futanari,1
1572,mams,1
215,ПИЗДЮЛИ,1
1120,fetish,1
549,big breasts,1
156,lesbayn,1
419,vatican,1
922,slopey,1
1405,vulva,1
477,jebus,1
1412,scallywag,1
553,church,1
1202,demon,1
390,cocktease,1
578,molester,1
153,zayebal,1
170,ОХУЕННЫЙ,1
92,ble,1
820,desire,1
208,amkalla,1
1006,tarbaby,1
1248,motherfuck,1
176,soqqi,1
664,paedophile,1
384,ТАМ ЕЩЁ ХУЙ НЕ ВАЛЯЛСЯ,1
142,vibrater,1
400,"ХУЙ МОРЖОВЫЙ (голландский, мамин, с горы, стоптанный)",1
1573,slavedriver,1
421,horseshit,1
799,fuckable,1
615,daterape,1
295,cockcowboy,1
401,penile,1
88,cunn,1
148,ОБЕРБЛЯДЬ,1
271,Kutingga ska,1
131,children's,1
401,ХУЙ НЕМЫТЫЙ,1
1429,bazongas,1
168,"ОХУЕВАТЬ, ПРИХУЕВАТЬ, ХУЕТЬ",1
378,С ХУЕВУ ДУШУ,1
115,ЗАХУЯРИТЬ,1
724,deepthroat,1
158,zaebalslar,1
269,xtc,1
1532,breastlover,1
189,ПИЗДЕЦ,1
917,asskisser,1
127,chumo,1
216,jallab,1
1370,uck,1
375,dope,1
333,bastinado,1
127,МНОГОПИЗДНАЯ,1
167,chumolar,1
1118,crapper,1
910,jerk off,1
776,niggarding,1
350,"(С) КАКОГО ХУЯ, ЗА КАКИМ ХУЁМ, ЗАХУЕМ, ЗАХУЙ",1
328,murder,1
10,zayibal,1
124,КОЗЛОЁБИЩЕ,1
12,niglet,1
897,reefer,1
171,spunk,1
260,sodom,1
1607,moneyshot,1
262,СТРАХОЁБИЩЕ,1
901,fucka,1
258,cooly,1
844,snowback,1
138,cumm,1
319,juggs,1
5,tashobosh,1
266,Kop mozgi sikma,1
1563,pimped,1
558,gaymuthafuckinwhore,1
139,cuntlicking ,1
112,fuckedup,1
531,drug,1
224,nlgger,1
723,fourtwenty,1
140,tashaqkalla,1
334,ЕБАТЬ-КОЛОТИТЬ,1
325,devilworshipper,1
1323,boang,1
58,ДОПИЗДЕТЬСЯ,1
218,ПИЗДЮЛЯ,1
714,lez,1
846,gangbang,1
193,nimphomania,1
573,dix,1
946,bulldike,1
503,purinapricness,1
1557,shitter,1
1547,spick,1
645,goldenshower,1
3,queaf,1
167,ОТЪЕБАТЬСЯ,1
467,mofo,1
1345,shota,1
5,meatrack,1
144,НАСТОЕБАТЬ,1
210,ПИЗДОШИТЬ,1
547,bumfuck,1
228,goddamned,1
1063,birdlock,1
542,shitfit,1
242,tight white,1
898,beaver lips,1
156,"ОДНОХУЙСТВЕННО, ОДИН ХУЙ",1
1160,goodpoop,1
61,"ДОХУЯКИВАТЬ (-ривать, -чивать, -шивать)",1
1448,homosexual,1
842,butt-fuck,1
371,ПИЗДА РУЛЮ,1
22,amlar,1
1537,jerkoff,1
276,headfuck,1
661,cocksucking,1
294,ХУЁВИНА,1
1602,ball sucking,1
314,sextogo,1
1343,chinky,1
1591,jigger ,1
691,redneck,1
385,ТУПАЯ ПИЗДА,1
424,bondage,1
594,buttstain,1
286,kappak,1
622,pohm,1
342,ЁБАНЫЙ СТОС,1
1393,fucck,1
227,sonofabitch,1
1488,suckmydick,1
1169,rump,1
150,ОБЪЕБАЛОВО,1
1462,hijacker,1
66,mickeyfinn,1
24,assassination,1
1235,tainted love,1
144,jijjiboo,1
536,sixtynine,1
811,poopchute,1
1490,hotdamn,1
85,copulate,1
1254,shawtypimp,1
188,ПИЗДЕТЬ,1
151,ОБЪЕБАТЕЛЬСТВО,1
1614,bestiality,1
1430,chickslick,1
484,mocky,1
53,jossalar,1
203,kot,1
208,ПИЗДОСТРАДАНИЯ,1
1523,skankywhore,1
272,Kutingga sikey,1
362,kink,1
749,chinamen,1
124,Opti turqingga sike,1
1026,liquor,1
1030,incest,1
1611,cocky,1
1335,quickie,1
182,ПИЗДАКРЫЛ,1
68,ЕБАЛЬНИК,1
665,kumming,1
364,gay,1
28,sukalar,1
1239,poverty,1
77,raped,1
27,girl on,1
299,ХУЙЛО,1
525,welcher,1
725,moles,1
55,assfuck,1
638,jackoff,1
302,mufflikcer,1
718,trojan,1
1613,unfuckable,1
624,nastywhore,1
7,pimp,1
1280,asses,1
803,jeez,1
1049,burn,1
336,destroy,1
47,muffindiver,1
356,НА ХУЙ НУЖНО (не надо),1
106,bomd,1
349,zigabo,1
1079,buggered,1
238,tied up,1
213,munt,1
1144,boom,1
84,ЕБИСТИКА,1
1514,crappy,1
793,pissoff ,1
1096,double dong,1
1565,breast,1
1494,kum,1
50,chortvachchalar,1
345,booby,1
523,sexwhore,1
232,shitforbrains,1
644,snowballing,1
39,xuyela,1
1428,spit,1
533,sultry women,1
391,"ХУЁВ НАСОВАТЬ, ХУЯМИ ОБЛОЖИТЬ",1
603,mockie,1
1601,testicle,1
1426,asscowboy,1
1074,bootycall,1
119,ИСПИЗДИТЬ,1
60,retard,1
59,ДОХУЙНУТЬ,1
92,cameltoe,1
666,reestie,1
264,xunas,1
73,latta,1
280,trannie,1
298,amhor,1
359,homoerotic,1
1502,eatpussy,1
1397,cocklover,1
1553,dago,1
847,cockfight,1
1206,macaca,1
214,ПИЗДЮК,1
110,tantra,1
42,cunilingus,1
125,tonguethrust,1
204,torture,1
1473,gyp,1
52,fingerfucker ,1
545,bulldyke,1
68,jizzim,1
1511,cocksucker,1
27,itdanbogan,1
31,ВПИЗЖИВАТЬ,1
1424,marijuana,1
183,spigotty,1
137,dive,1
899,motherlovebone,1
796,mattressprincess,1
132,shat,1
80,weenie,1
361,НИ В ПИЗДУ НИ В КРАСНУЮ АРМИЮ,1
758,pornking,1
541,flange,1
1019,bunga,1
111,ЗАПИЗДЕТЬ,1
983,fraud,1
58,pornhub,1
165,blumpkin,1
248,sadism,1
1331,tit,1
446,necro,1
276,Kutag'imni ye,1
858,nigra,1
1358,heroin,1
1605,pubic,1
97,sluts,1
1545,juggalo,1
805,leather restraint,1
737,pussylicker,1
51,ГРЕБЛЯДЬ,1
114,ЗАХУЯРИВАТЬ (-чивать),1
102,doo-doo,1
434,jiggerboo,1
74,bukkake,1
577,asslicker,1
1592,blowjob,1
50,ГОЛОЁБИЦА,1
1230,wn,1
918,crotchrot,1
1326,shoot,1
136,qanjiqsipat,1
110,chuk,1
72,lox,1
762,period,1
989,boonie,1
388,sexo,1
235,nastyslut,1
388,ХИТРО ВЫЕБАНЫЙ,1
267,felatio ,1
1329,slutting,1
1575,uptheass,1
117,cunillingus,1
437,doggie style,1
673,fudgepacker,1
249,biteme,1
318,В ХУЙ НЕ ДУТЬ,1
304,dalbayop,1
94,hotpussy,1
255,РАСПИЗДЯЙСТВО,1
33,barface,1
331,ЕБАЛЬНЫЙ СТАНОК,1
108,yimirtaqovirdoq,1
448,whiskeydick,1
1469,hard core,1
716,rearend,1
125,КОНОЁБИТЬСЯ,1
403,ХУЙ ПРОССЫШЬ,1
0,mound of venus,1
211,ПИЗДРИК,1
1101,pedobear,1
1108,coolie,1
7,БЛЯДОГОН,1
82,reverse cowgirl,1
1481,kinbaku,1
93,ЁБКОСТЬ,1
676,barelylegal,1
344,ЗАБИВАТЬ (класть) ХУЙ,1
1046,shaggin,1
1460,tuckahoe,1
770,whop,1
1609,bountybar,1
81,ЕБАШИТ,1
517,wanker,1
368,ПОШЛО ОНО ВСЁ НАХУЙ,1
404,enemy,1
384,cummer,1
