,words,outcome
2781,heavy,0.0
4053,request,0.0
1395,failed,1.0
1912,dragqueen,1.0
4149,saving,0.0
2893,ethics,0.0
864,period,1.0
2014,eva elif,1.0
3787,clamdigger,1.0
554,capital,0.0
2609,smut,1.0
1175,БЛЯДОВАТЬ,1.0
2833,Eshaksikur,1.0
1510,lucifer,1.0
2957,arm,0.0
1437,fahmli,0.0
1188,chocolate rosebuds,1.0
3557,БЛЯДВА,1.0
1915,proposed,0.0
3432,etc,0.0
866,involved,0.0
752,knife,0.0
3312,upskirt,1.0
3652,balllicker,1.0
2752,race,0.0
1225,bareback,1.0
729,offer,0.0
1898,ЖИДОЁБСКИЙ (-ая; -ое; -ие),1.0
1779,reject,0.0
4076,slut,1.0
4193,institutional,0.0
3042,"ВХУЙНУТЬ (-кать, -рить, -чить, -шить)",1.0
346,Og'zingya Sikyama,1.0
2905,fabrika,0.0
3869,australian,1.0
578,redneck,1.0
3646,judgment,0.0
3860,ibodatli,0.0
3911,girls,1.0
3478,ВЪЕБАТЬ,1.0
1482,jackoff,1.0
178,piky,1.0
3541,horizon,0.0
1138,abajurli,0.0
3240,fart,1.0
2099,hobo,1.0
604,participate,0.0
1480,Bir tomchi yetmay qogan,1.0
25,mothafucked ,1.0
3960,may,0.0
2413,yellow showers,1.0
3612,ero,1.0
173,shited,1.0
3390,phukked,1.0
331,Democrat,0.0
342,ОБЪЕБАТЕЛЬСТВО,1.0
3771,comfort,0.0
479,shit,0.0
727,coprophilia,1.0
1837,catch,0.0
976,НАПИЗДИТЬ,1.0
1073,sextoys,1.0
2951,pussyfucker,1.0
3727,intheass,1.0
3221,ДОЕБАТЬСЯ,1.0
1600,term,0.0
3565,ПОДЪЁБЫВАТЬ,1.0
3692,mutakabbir,0.0
1432,title,0.0
1263,love,0.0
2659,crackpipe,1.0
1427,sue,0.0
2316,hoser,1.0
3752,depth,0.0
2057,widely,0.0
67,habada,0.0
3525,poo,1.0
221,faggot,1.0
4045,funeral,0.0
4229,tosser,1.0
3063,БЛЯДИАДА,1.0
88,badbo‘ylanganlik,0.0
2543,footjob,1.0
3126,habba,0.0
3395,qiyilmoq,0.0
1187,pubes,1.0
1936,swing,0.0
1727,edi,0.0
1697,deposit,1.0
3683,tonguethrust,1.0
2437,phrase,0.0
4001,category,0.0
1258,wrap,0.0
1170,shibari,1.0
3616,how to kill,1.0
3133,buttman,1.0
3103,preference,0.0
1096,pussylicker,1.0
4100,dear,0.0
1730,additional,0.0
1952,empty,0.0
283,ВЗЪЁБКА,1.0
4078,respondent,0.0
2899,homobangers,1.0
4091,НА ХУЯ (нахуя),1.0
1558,dirt,0.0
1983,breast,1.0
2753,dangerous,0.0
3351,mastrabator,1.0
4155,dyke,1.0
423,zaybalsilar,1.0
3317,mams,1.0
1350,cocklicker,1.0
3244,nimphomania,1.0
839,secretary,0.0
500,beat,0.0
1374,areola,1.0
3780,buttmuncher,1.0
549,shirt,0.0
557,shag,1.0
3466,illegal,1.0
2121,fault,0.0
218,shitola,1.0
1186,ВПИЗДЮЛИТЬ,1.0
209,back,0.0
1752,nipplering,1.0
2801,fatso,1.0
4124,am,1.0
2942,use,0.0
948,parent,0.0
1189,mas'uliyat,0.0
532,volume,0.0
1941,secret,0.0
1643,burn,0.0
1461,fuckbuddy,1.0
2531,БЛЯДИСТОСТЬ,1.0
4030,rearentry,1.0
4112,sake,0.0
3497,suck,1.0
0,rimjob,1.0
1407,complex,0.0
4174,ДА ХУЙ ЕГО НЕ ВОЗЬМЁТ,1.0
3102,community,0.0
2440,"ХУЙ, А ВОТ ХУЙ, ХУЙ ТЕБЕ, ХУЮШКИ",1.0
1176,recruit,0.0
247,activist,0.0
3846,honor,0.0
1760,proud,0.0
2666,abajur,0.0
2654,В ХУЙ НЕ ДУТЬ,1.0
2588,yellow,0.0
4116,jerkoff,1.0
4254,mothafuckaz,1.0
1378,horny,1.0
2364,ibodatsiz,0.0
2223,ХУЕГЛОТ,1.0
1775,friendly,0.0
3166,ОБЪЕБАТЬ,1.0
4063,immigrant,0.0
278,self,0.0
952,РАСПИЗДОШИЛ (-ла; -ть),1.0
2452,fuckable,1.0
1731,pikey,1.0
2988,"ДОХУЯРИВАТЬСЯ (-чиваться, -шиваться)",1.0
2289,zaybal,1.0
2803,voyeur,1.0
1717,ПИЗДОМАНИЯ,1.0
3931,ПРИПИЗДЕТЬ,1.0
1744,asspirate,1.0
155,feed,0.0
985,christ,1.0
1491,bomb,1.0
2582,cockqueen,1.0
3355,Soviet,0.0
1756,ПИЗДЫ ПОЛУЧИТЬ,1.0
3367,leading,0.0
2604,loser,1.0
3650,prince albert piercing,1.0
1444,girlfriend,0.0
3215,power,0.0
4171,funding,0.0
700,slutt,1.0
1257,or,0.0
644,ДА ЕБАЛ Я,1.0
1569,campus,0.0
929,clothing,0.0
2159,motherfuckin,1.0
2232,offensive,0.0
2685,onag'ar,1.0
246,Gandonbashara,1.0
2029,dramatic,0.0
923,minister,0.0
1185,broad,0.0
3830,unfuckable,1.0
1961,inquiry,0.0
3095,attention,0.0
2992,bombing,1.0
2164,hymie,1.0
1220,thin,0.0
3670,European,0.0
3331,our,0.0
648,taste my,1.0
543,camera,0.0
1653,whop,1.0
3209,ponyplay,1.0
2696,crash,1.0
259,torture,1.0
3590,ЗАПРОСТО ХУЙ (нахуй),1.0
2179,sakkiztacha,0.0
927,shota,1.0
612,soqqi,1.0
1023,demonstration,0.0
1315,prickhead,1.0
1152,randy,1.0
219,winter,0.0
3513,bread,0.0
485,slave,1.0
2572,bohunk,1.0
2865,simple,0.0
258,forever,0.0
3205,pric,1.0
386,ВПИЗЖИВАТЬСЯ,1.0
847,ПИЗДА (1),1.0
2857,pop,0.0
1749,horn,1.0
3179,jabra,0.0
2882,illness,0.0
4110,access,0.0
1233,shitforbrains,1.0
2184,bunch,0.0
2367,cooking,0.0
3786,employment,0.0
2834,assjockey,1.0
3930,fingering,1.0
1095,hayratli,0.0
3239,dabdurust,0.0
1728,habata,0.0
1421,БЛЯДУН,1.0
507,oh,0.0
7,amkalla,1.0
3386,dealer,0.0
2260,ПИЗДЮЛЬКА,1.0
2384,kumbullbe,1.0
2791,abad,0.0
3460,pool,0.0
1322,hook,1.0
378,lotion,1.0
3085,pant,0.0
678,СОСАТЬ ХУЙ,1.0
4165,qosin',1.0
1476,chinese,1.0
1011,molestor,1.0
4050,instrument,0.0
1543,carpet muncher,1.0
65,voice,0.0
2707,given,0.0
3400,fuckknob,1.0
3276,capacity,0.0
1991,ecchi,1.0
679,bitching,1.0
2154,expand,0.0
781,speak,0.0
2989,НЕТ НИ ХУЯ (нихуя),1.0
4135,ЗАПИЗЖИВАТЬСЯ,1.0
2426,summer,0.0
1550,crash,0.0
1767,ДО ХУЯ (дохуя),1.0
2643,ЕБАРИШКА,1.0
3603,east,0.0
883,ЁБАНЫЙ СТОС,1.0
1091,zaybalsilar,1.0
382,ЗАЕБИСЬ,1.0
2743,freakfuck,1.0
3150,tomato,0.0
2230,homeless,0.0
3609,topless,1.0
31,guruh,0.0
2974,koon,1.0
2487,НАЕБНУТЬ,1.0
3187,United,0.0
610,НАЕБАШИЛСЯ,1.0
570,shu'ba,0.0
343,spick,1.0
2177,skankbitch,1.0
2377,beatyourmeat,1.0
2630,kissass,1.0
3368,Xuyyela,1.0
3624,jew,1.0
2822,cold,0.0
3200,sextoy,1.0
1507,horseshit,1.0
1467,Senate,0.0
1135,contest,0.0
2913,russki,1.0
2168,thousand,0.0
841,understanding,0.0
2792,buttplug,1.0
1413,qotaq ali,1.0
965,twice,0.0
528,niggard's,1.0
176,basis,0.0
422,dining,0.0
2748,niger,1.0
3604,ХУЯЦИЯ,1.0
2430,accept,0.0
572,lawn,0.0
2555,ultimate,0.0
288,sukalar,1.0
1487,ПИЗДА (2),1.0
2194,roundeye,1.0
3567,bell,0.0
1966,pimpjuice,1.0
3119,administration,0.0
2330,penetration,1.0
3318,tank,0.0
2887,odds,0.0
3290,pee,1.0
2019,realize,0.0
2093,peckerwood,1.0
383,headfuck,1.0
3439,husky,1.0
370,dicklick,1.0
3682,ontherag,1.0
2810,badburushlanmoq,0.0
4036,dickless,1.0
1105,master,0.0
2083,qotaqbas,1.0
1497,mind,0.0
2867,НА ХУЮ ВИДЕТЬ,1.0
141,jeez,1.0
3735,corporation,0.0
491,camel toe,1.0
198,dabiriston,0.0
2463,fatah,1.0
1171,powerful,0.0
1226,fucked,1.0
1729,slimebucket,1.0
4151,butter,0.0
3003,xohish,0.0
1800,piano,0.0
195,absorb,0.0
874,ballsack,1.0
2706,yes,0.0
3658,reputation,0.0
1652,vulnerable,0.0
840,shelter,0.0
581,moneyshot,1.0
3332,panel,0.0
2439,mechanism,0.0
905,tramp,1.0
631,filipino,1.0
2245,system,0.0
1362,adult,1.0
162,nastyslut,1.0
4048,Jalaaab,1.0
1632,jiggabo,1.0
1732,forward,0.0
3737,knockers,1.0
2953,talk,0.0
925,quite,0.0
3091,hotdamn,1.0
547,invasion,0.0
1589,criticism,0.0
1468,lesbain,1.0
2380,dependent,0.0
3888,recommend,0.0
2328,always,0.0
611,o‘zidan-o‘zi,0.0
1336,fully,0.0
4245,abortion,1.0
4070,ПРОЁБ,1.0
1864,shagging,1.0
2215,tea bagging,1.0
3078,dabdala,0.0
742,precisely,0.0
637,slant,1.0
1412,Qanjiq,1.0
2532,ХУЕВ,1.0
2252,biatch,1.0
3389,sikishma,1.0
1097,jabr-zulm,0.0
3818,bastinado,1.0
48,host,0.0
2985,ha-hu,0.0
1675,asian,1.0
921,apply,0.0
2623,soon,0.0
3958,forest,0.0
756,primetime,1.0
2980,cope,0.0
2876,anniversary,0.0
1813,ibodatgoh,0.0
4212,diverse,0.0
3028,ЕБАНАТИК,1.0
2732,wop,1.0
1455,crotchjockey,1.0
836,powder,0.0
1498,zipperhead,1.0
2702,ДОПИЗДЕТЬСЯ,1.0
2807,green,0.0
1590,attempt,0.0
3088,stone,0.0
1650,xx,1.0
1070,also,0.0
4090,Boqimni yepsa,1.0
3745,coast,0.0
2213,strategy,0.0
4168,assfucker,1.0
4004,bullshit,1.0
3032,ЕБЁТ В РОТ И В ЖОПУ,1.0
3350,spreadeagle,1.0
2325,friendship,0.0
1967,bollocks,1.0
1422,encourage,0.0
3423,nigerians,1.0
2470,НАЕБАТЬ,1.0
2510,pom,1.0
3089,hymen,1.0
3625,homoerotic,1.0
1918,quote,0.0
2722,gift,0.0
1582,pommie,1.0
1593,shitoutofluck,1.0
1373,sink,0.0
3494,satisfaction,0.0
2907,bomb,0.0
3283,buyer,0.0
867,women's,1.0
926,regular,0.0
2118,abadulabad,0.0
997,bitchez,1.0
1337,pizda,1.0
3349,habo,0.0
1099,yiban,1.0
1132,pilot,0.0
3035,dipstick,1.0
1896,characteristic,0.0
210,widespread,0.0
3307,blind,1.0
2066,Yiban,1.0
59,twelve,0.0
1211,fucker,1.0
2298,civil,0.0
1714,being,0.0
4198,color,1.0
4213,cunntt,1.0
765,latta,1.0
2333,bullet vibe,1.0
1502,billion,0.0
1078,speed,0.0
1483,transition,0.0
3379,academic,0.0
2269,effektlilik,0.0
3773,okay,0.0
2293,formation,0.0
582,fahmlatmoq,0.0
2181,"ХУЙ, А ВОТ ХУЙ, ХУЙ ТАМ, ХУЮШКИ, ХУЙ-НА-НЫ, ХУЙ-НА-РЫЛО",1.0
3008,analannie,1.0
1479,slime,1.0
940,footstar,1.0
1080,mountain,0.0
187,cocksmith,1.0
941,fairly,0.0
2566,boom,0.0
2969,cause,0.0
1747,masturbating,1.0
4162,darpardalik,0.0
2228,assklown,1.0
3232,humping,1.0
226,ПИЗДЮЛИНА,1.0
2354,Mr,0.0
535,mother,0.0
1572,slopy,1.0
3574,nooner,1.0
1404,УЁБИЩЕНСКИ,1.0
4154,goregasm,1.0
697,cite,0.0
3681,meth,1.0
3693,meatbeatter,1.0
3193,hiscock,1.0
2751,complaint,0.0
4028,jap,1.0
3595,homo,1.0
1400,bushmeyster,0.0
4227,spooge,1.0
2285,dingleberry,1.0
1037,jebus,1.0
208,wife,0.0
2629,announce,0.0
565,mine,0.0
313,gifted,0.0
601,column,0.0
233,take,0.0
2415,difficulty,0.0
931,ibodiylar,0.0
3580,"ВЫХУЯРИВАНИЕ (-ть), ВЫХУЯЧИВАНИЕ (-ть), ВЫХУЯКИВАНИЕ",1.0
3594,ОПИЗДИХУИТЕЛЬНЫЙ,1.0
2309,perhaps,0.0
111,southern,0.0
2924,clothes,0.0
1089,flydye,1.0
3047,shadow,0.0
230,adapt,0.0
2229,qotog'im,1.0
1869,wigger,1.0
2103,existing,0.0
472,brilliant,0.0
1662,Qutag'imni ye,1.0
4205,jossa,1.0
4120,code,0.0
1659,xaromxorlar,1.0
3458,hope,0.0
1672,triplex,1.0
1537,train,0.0
1642,fckcum,1.0
3061,criminals,1.0
3619,steal,0.0
361,opishaman,1.0
135,beautiful,0.0
1134,this,0.0
3408,dabirlik,0.0
1151,had-hisob,0.0
2817,slowly,0.0
2226,amhor,1.0
3725,arab,1.0
1053,maybe,0.0
3690,tennis,0.0
22,ПИЗДЕЦКИЙ (-ая; -ое),1.0
2155,Catholic,0.0
4152,efalar,0.0
3781,complicated,0.0
695,trisexual,1.0
2015,ЕБАЛЬНИК,1.0
420,fore,1.0
3747,compose,0.0
460,yibanlar,1.0
1067,Sikish,1.0
87,training,0.0
3657,freefuck,1.0
2284,rosy palm and her 5 sisters,1.0
282,consensus,0.0
3169,cookie,0.0
2562,jabariylar,0.0
1736,fannyfucker,1.0
540,tashobosh,1.0
2366,gey,1.0
2884,otherwise,0.0
859,death,1.0
533,silence,0.0
1368,Jalaaap,1.0
3610,analyst,0.0
3207,africa,1.0
3291,exposure,0.0
4202,Xoromdan bogan,1.0
3521,record,0.0
3962,palm,0.0
3153,button,0.0
4224,prospect,0.0
1846,bitches,1.0
2925,soskalar,1.0
4057,ХИТРОВЫЕБАННЫЙ (-ая),1.0
1743,abroad,0.0
4203,strofa,0.0
1420,sikvordilar,1.0
1611,clear,0.0
1553,resemble,0.0
942,groe,1.0
2498,sodom,1.0
779,evaluation,0.0
1904,cuntlicking ,1.0
3892,ЕБАТОРИЙ,1.0
3568,urethra play,1.0
4246,lovemaking,1.0
121,nigra,1.0
887,butchdike,1.0
3409,deapthroat,1.0
685,global,0.0
3862,upon,0.0
1602,ready,0.0
2514,cocks,1.0
413,get,0.0
789,shithapens,1.0
3728,coon,1.0
1770,spic,1.0
1978,behavior,0.0
3399,pu55i,1.0
1720,Сука,1.0
1425,label,0.0
2374,gadobachcha,0.0
272,submit,0.0
782,"ДОХУЯКАТЬ (-рить, -чить, -шить)",1.0
521,МОЗГОЁБ,1.0
522,gin,1.0
4219,breastlover,1.0
3948,ball,0.0
1830,resource,0.0
2977,ПО-ХУЮ,1.0
350,К ЁБАНОЙ БАБУШКЕ,1.0
2860,edifikatorlar,0.0
2589,ШИРОКОПИЗДАЯ,1.0
3984,ВЗБЛЯД,1.0
2605,change,0.0
1511,ХУЙ ЗНАЕТ ЧТО,1.0
651,dirty,1.0
2922,commander,0.0
3829,ДОХУЙНУТЬ,1.0
4104,sound,0.0
1789,НАЕБЕНИТЬСЯ,1.0
118,dabba,1.0
2414,licker,1.0
2202,quim,1.0
168,pimper,1.0
1613,interracial,1.0
835,leader,0.0
1405,kills,1.0
2063,floo,1.0
962,see,0.0
945,habib,0.0
462,can,0.0
2138,slutting,1.0
328,shall,0.0
2813,Spanish,0.0
2507,note,0.0
4016,fahm,0.0
1360,favorite,0.0
2080,fubar,1.0
367,procedure,0.0
3838,speech,0.0
1924,yetar-yetmasdan,0.0
4195,barf,1.0
4051,cocksucer,1.0
2425,ball gag,1.0
1375,ВЫБЛЯДОК,1.0
2096,assassin,1.0
772,buttfucker,1.0
1284,incest,1.0
3520,titfuckin,1.0
1514,guarantee,0.0
3977,ЕБАНУЛ (-ла),1.0
3483,abadiylashmoq,0.0
498,specifically,0.0
1414,politics,0.0
1234,cocktail,1.0
3905,commitment,0.0
435,insight,0.0
1251,unable,0.0
365,us,0.0
4093,РАЗЪЕБАЙ,1.0
276,ПОДЪЁБКА,1.0
3462,gadobachcha va gadovachcha,0.0
2918,challenge,0.0
2949,window,0.0
1506,pussylover,1.0
407,sniggered,1.0
2736,ПИЗДОВАТЬ (пиздюхать),1.0
1644,poor,0.0
2086,niggur,1.0
1814,hell,0.0
1953,exhibit,0.0
4228,crew,0.0
2718,fagging,1.0
844,ЗАЕБЕНИТЬ (заебашить),1.0
3688,user,0.0
1777,hole,1.0
86,dramatically,0.0
3107,coalition,0.0
2348,ПОПИЗДИЛИ,1.0
2347,jizz,1.0
3471,dirty pillows,1.0
2432,father,0.0
1829,zigabo,1.0
855,expectation,0.0
2005,ДУРОЁБ,1.0
78,arsehole,1.0
944,cooly,1.0
199,tashaqbash,1.0
3264,badbin,0.0
2170,sandiq,0.0
801,cocksucked ,1.0
2668,although,0.0
2115,ombosh,1.0
2631,thought,0.0
2112,classic,0.0
231,Oneni ami,1.0
3064,aroused,1.0
1033,dago,1.0
3043,forget,0.0
2465,massive,0.0
1583,german,1.0
2494,nation,0.0
1812,niglet,1.0
2189,would,0.0
2517,calculate,0.0
392,hospital,0.0
1143,still,0.0
3986,terrorist,1.0
191,conclude,0.0
104,make me come,1.0
4113,eva elfie,1.0
3654,tezotarlik,0.0
3206,mask,0.0
4210,assalomu alaykum,0.0
2028,badly,0.0
3586,pour,0.0
1844,rural,0.0
2530,slow,0.0
2022,pubiclice,1.0
4015,crazy,0.0
3485,geezer,1.0
1587,yard,0.0
3196,ocean,0.0
1751,cockcowboy,1.0
3504,blackout,1.0
2683,bigger,1.0
2196,bunghole,1.0
702,basket,0.0
2401,lovely,0.0
2034,skumbag,1.0
3867,junior,0.0
994,trial,0.0
464,fuckingbitch,1.0
3813,data,0.0
1815,fingerfuck ,1.0
3558,shangrayish,0.0
3543,chain,0.0
2534,marijuana,1.0
1236,baby,0.0
2676,motherfuckings,1.0
2372,feature,0.0
212,be,0.0
1036,vorarephilia,1.0
4183,efedra,0.0
900,belt,0.0
1446,bo‘yqiz,0.0
1979,ecstacy,1.0
3273,form,0.0
660,link,0.0
1614,deepthroat,1.0
741,ЁБАКА,1.0
3902,fuckwhore,1.0
3426,freakyfucker,1.0
2758,swalow,1.0
3602,fungus,1.0
1206,mamaroza,1.0
509,crisis,0.0
3158,ЕБЁТ,1.0
597,jizm ,1.0
2148,minority,0.0
1872,chinaman,1.0
981,nastyho,1.0
3689,Foxisha,1.0
3909,ПИЗДЕЦ,1.0
518,help,0.0
1842,cocklover,1.0
767,barely,0.0
4147,bathroom,0.0
1726,firing,1.0
1651,faith,1.0
2721,narrative,0.0
2927,helpful,0.0
2750,jizzum,1.0
3048,bedroom,0.0
421,rabbi,1.0
123,ordinary,0.0
3046,feltching,1.0
3901,shitfuck,1.0
1244,ХУЁВНИЧАТЬ,1.0
819,itch,1.0
1403,threeway,1.0
1382,fahm-farosatsizlik,0.0
100,buck,0.0
3906,qanaqangi,0.0
1575,ЕБАНЁШЬСЯ,1.0
1638,fuuck,1.0
1283,death,0.0
4098,sixtynine,1.0
3366,core,0.0
3881,but,0.0
1103,spaghettinigger,1.0
4237,poligenlar,0.0
3326,ПИЗДОБРАТИЯ,1.0
1517,sexing,1.0
3542,pooper,1.0
2102,wild,0.0
1352,do,0.0
3452,those,0.0
3676,nig,1.0
3412,dumbfuck,1.0
982,niima,1.0
456,fuckmonkey,1.0
2821,whore,1.0
3282,abadiyot,0.0
3270,fuckedup,1.0
3134,assranger,1.0
381,yoz e amani kotiga sey bla,1.0
641,ХУЁВИНА,1.0
2174,ethnic,1.0
2765,pornflick,1.0
1490,fabrika-zavod,0.0
3130,ТРЕПЕЗДОНИТ,1.0
1010,organize,0.0
3293,federal,0.0
4253,somonxona,0.0
662,knowledge,0.0
2979,junbashara,1.0
2172,amateur,1.0
4022,boom,1.0
2127,g-spot,1.0
3311,filipina,1.0
3810,ikey,1.0
3357,zayibal,1.0
2447,headlights,1.0
2045,immigration,0.0
2840,differently,0.0
845,limey,1.0
542,xalqparastlik,0.0
1839,НА ХУЙ НУЖНО (не надо),1.0
91,puntang,1.0
2665,sevimlilik,0.0
3776,consciousness,0.0
2451,bright,0.0
1957,out,0.0
1196,funeral,1.0
2031,fu,1.0
1102,northern,0.0
2963,rectum,1.0
3531,likely,0.0
2496,fahm-farosatli,0.0
3362,"ОДНОХУЙСТВЕННО, ОДИН ХУЙ",1.0
4072,Otni qotag'i,1.0
2755,instead,0.0
3533,resolution,0.0
3597,economist,0.0
1048,contribute,0.0
3135,tuckahoe,1.0
3024,knife,1.0
898,Og'zinga qotog'im,1.0
1459,belong,0.0
1992,ПИЗДАТЫЙ (-ая; -ое),1.0
237,farty ,1.0
4222,venus mound,1.0
2119,difference,0.0
1133,habash,0.0
2886,simply,0.0
1805,lay,0.0
3495,tunnel,0.0
163,blanket,0.0
2542,recently,0.0
2149,footfuck,1.0
252,defecate,1.0
3815,erection,1.0
2323,bullet,0.0
2650,ОСКОТОЁБИЛСЯ,1.0
1791,barfface,1.0
1811,fagolchi,0.0
3021,ВЗЪЁБЫВАТЬ,1.0
3027,feces,1.0
930,servant,1.0
2258,beastial,1.0
2295,department,0.0
3370,playgirl,1.0
1698,ХУЙНУТЬ,1.0
3600,ribbed,1.0
2633,spitter,1.0
3779,day,0.0
3509,research,0.0
2468,absolutely,0.0
4020,wuss,1.0
1871,umbalag‘oshmoq,0.0
1090,armatura,0.0
3532,ХУЕМЫРЛО,1.0
1485,peehole,1.0
3826,ky,1.0
3951,shortfuck,1.0
1181,meat,0.0
2639,agent,0.0
1452,sheet,0.0
593,auto erotic,1.0
677,convert,0.0
41,band,0.0
2259,vietcong,1.0
3703,best,0.0
2131,coffee,0.0
3734,paper,0.0
243,eneyni ami,1.0
1124,dong,1.0
1339,characterize,0.0
2314,base,0.0
2968,sacred,0.0
2584,masterbate,1.0
1442,vital,0.0
261,breath,0.0
1965,move,0.0
3305,kallanga qota'g'im,1.0
2488,barely legal,1.0
1689,sex,1.0
2984,ЕБЛАН,1.0
1725,geysan,1.0
3188,prefer,0.0
834,killing,1.0
1866,fuckface,1.0
3401,layer,0.0
2337,attend,0.0
3927,nadomat,0.0
4243,nudity,1.0
340,uncle,0.0
360,lynch,1.0
1601,lovebone,1.0
748,sooty,1.0
113,goddamnit,1.0
3912,fight,1.0
480,investor,0.0
3163,clue,0.0
2320,cockhead,1.0
508,kumquat,1.0
2459,generation,0.0
3724,upper,0.0
3142,marriage,0.0
2754,fagotsitoz,0.0
783,block,0.0
3808,nymph,1.0
2211,ab,0.0
3760,cocktease,1.0
1766,butthead,1.0
3551,junbosh,1.0
3674,abadiya,0.0
2763,ХУЙЛО,1.0
2090,figging,1.0
2457,briefly,0.0
2910,playboy,1.0
3238,lunch,0.0
3123,eatme,1.0
2682,fuckoff,1.0
1271,rape,1.0
2355,shake,0.0
3589,blowjob,1.0
2420,piss,1.0
1127,nigger,1.0
626,singer,0.0
347,"ОХУЕВАТЬ, ПРИХУЕВАТЬ, ХУЕТЬ",1.0
1302,nigerian,1.0
3418,psixostimulyatorlar,0.0
1565,racial,0.0
3784,easy,0.0
2329,essential,0.0
979,shaggin,1.0
4033,milf,1.0
4131,nofuckingway,1.0
1423,ХУЙ К НОСУ ПРИКИНУТЬ,1.0
3824,lie,0.0
2208,butthole,1.0
911,fuckbag,1.0
2767,appoint,0.0
632,zaebal,1.0
669,xuysinim,1.0
445,Eban,1.0
617,association,0.0
2334,grave,0.0
2673,believe,0.0
2406,С ПРИПИЗДЬЮ (пропиздью),1.0
1326,relative,0.0
286,effective,0.0
2698,УЕБАЛСЯ (-лась; -ться),1.0
2620,chinamen,1.0
3770,ХУЙ-ЧЕГО,1.0
3337,great,0.0
1465,spankthemonkey,1.0
2483,БЛЯДЬ,1.0
2390,similarly,0.0
2344,sale,0.0
115,heel,0.0
3661,dog style,1.0
1494,born,0.0
353,drag,0.0
